iter	Passed	Remaining
0	144	144398
1	146	73233
2	151	50448
3	155	38693
4	159	31664
5	161	26834
6	164	23359
7	168	20914
8	172	18960
9	174	17296
10	178	16060
11	182	15014
12	184	13983
13	185	13083
14	187	12310
15	188	11620
16	191	11045
17	193	10557
18	195	10109
19	197	9684
20	198	9275
21	200	8924
22	202	8582
23	203	8281
24	205	8010
25	207	7757
26	209	7538
27	210	7315
28	212	7106
29	213	6905
30	214	6714
31	216	6535
32	217	6363
33	218	6200
34	219	6063
35	221	5934
36	223	5816
37	224	5688
38	225	5560
39	226	5440
40	227	5327
41	228	5218
42	229	5115
43	230	5010
44	231	4911
45	232	4815
46	233	4731
47	234	4657
48	236	4585
49	237	4518
50	238	4443
51	239	4369
52	240	4300
53	241	4230
54	242	4168
55	243	4103
56	244	4040
57	245	3981
58	246	3929
59	247	3882
60	250	3849
61	251	3800
62	252	3748
63	252	3699
64	253	3650
65	254	3603
66	255	3559
67	256	3514
68	257	3470
69	258	3428
70	259	3389
71	259	3350
72	261	3315
73	262	3284
74	264	3258
75	265	3226
76	266	3192
77	267	3160
78	268	3130
79	269	3100
80	270	3069
81	271	3039
82	271	3005
83	272	2976
84	273	2948
85	274	2920
86	275	2896
87	277	2874
88	279	2857
89	280	2834
90	281	2809
91	282	2784
92	283	2761
93	284	2737
94	285	2715
95	285	2691
96	286	2667
97	287	2644
98	288	2621
99	288	2599
100	289	2577
101	290	2556
102	291	2539
103	293	2524
104	294	2513
105	296	2496
106	297	2479
107	298	2466
108	299	2450
109	300	2432
110	301	2415
111	302	2398
112	303	2381
113	304	2365
114	305	2349
115	306	2337
116	308	2325
117	309	2315
118	310	2301
119	311	2286
120	312	2273
121	313	2258
122	314	2244
123	315	2230
124	316	2216
125	317	2202
126	318	2187
127	319	2174
128	320	2164
129	322	2155
130	323	2148
131	325	2139
132	326	2126
133	326	2112
134	328	2103
135	329	2091
136	330	2079
137	331	2067
138	331	2055
139	332	2042
140	333	2030
141	333	2016
142	334	2004
143	335	1994
144	336	1985
145	338	1978
146	339	1969
147	340	1959
148	341	1948
149	342	1938
150	343	1928
151	343	1918
152	344	1907
153	345	1896
154	345	1885
155	346	1875
156	347	1865
157	348	1855
158	348	1845
159	349	1835
160	350	1826
161	351	1820
162	353	1815
163	354	1807
164	355	1798
165	356	1789
166	356	1780
167	357	1772
168	358	1763
169	359	1754
170	360	1745
171	360	1736
172	361	1728
173	362	1719
174	362	1710
175	363	1702
176	364	1693
177	365	1687
178	366	1681
179	368	1678
180	369	1671
181	370	1664
182	371	1657
183	372	1650
184	373	1643
185	373	1635
186	374	1628
187	375	1620
188	375	1613
189	376	1605
190	377	1597
191	377	1590
192	378	1583
193	379	1576
194	380	1571
195	383	1573
196	385	1570
197	386	1564
198	387	1558
199	388	1554
200	389	1548
201	390	1542
202	391	1536
203	392	1530
204	393	1524
205	394	1519
206	395	1516
207	397	1512
208	398	1510
209	400	1504
210	400	1499
211	401	1493
212	402	1488
213	403	1483
214	404	1477
215	405	1471
216	406	1465
217	406	1459
218	407	1453
219	408	1447
220	408	1441
221	409	1436
222	411	1434
223	412	1430
224	413	1424
225	414	1419
226	415	1414
227	416	1409
228	417	1404
229	417	1398
230	418	1393
231	419	1387
232	419	1382
233	420	1377
234	421	1371
235	422	1366
236	423	1362
237	424	1359
238	426	1357
239	427	1353
240	428	1349
241	429	1345
242	430	1340
243	431	1336
244	432	1331
245	432	1326
246	433	1321
247	434	1316
248	434	1311
249	435	1306
250	436	1301
251	437	1297
252	438	1294
253	439	1291
254	441	1290
255	442	1286
256	443	1282
257	444	1277
258	445	1274
259	446	1270
260	447	1265
261	447	1261
262	448	1256
263	449	1252
264	449	1247
265	450	1243
266	451	1239
267	452	1234
268	453	1231
269	454	1228
270	455	1226
271	456	1222
272	457	1219
273	458	1215
274	459	1211
275	460	1207
276	461	1203
277	465	1209
278	466	1205
279	467	1201
280	468	1197
281	469	1195
282	470	1192
283	471	1189
284	472	1186
285	473	1182
286	474	1179
287	475	1176
288	476	1172
289	477	1168
290	477	1164
291	478	1161
292	479	1157
293	480	1154
294	481	1150
295	482	1146
296	483	1143
297	484	1142
298	486	1141
299	488	1138
300	489	1135
301	490	1132
302	491	1129
303	491	1126
304	492	1122
305	493	1119
306	494	1116
307	495	1112
308	496	1109
309	496	1105
310	497	1103
311	499	1100
312	500	1099
313	501	1096
314	502	1093
315	503	1090
316	504	1086
317	505	1084
318	506	1081
319	507	1078
320	508	1075
321	508	1071
322	509	1068
323	510	1065
324	511	1061
325	512	1058
326	513	1056
327	514	1054
328	515	1052
329	516	1049
330	517	1046
331	518	1042
332	519	1039
333	519	1036
334	520	1033
335	521	1030
336	522	1027
337	522	1023
338	523	1020
339	526	1022
340	530	1024
341	532	1024
342	534	1023
343	536	1023
344	540	1027
345	543	1027
346	545	1026
347	547	1026
348	550	1026
349	552	1025
350	554	1024
351	557	1026
352	559	1024
353	560	1023
354	562	1021
355	563	1019
356	564	1017
357	565	1014
358	566	1012
359	568	1011
360	570	1010
361	572	1009
362	574	1007
363	575	1005
364	577	1004
365	578	1002
366	580	1000
367	581	998
368	583	998
369	586	997
370	587	996
371	588	994
372	590	992
373	591	990
374	592	988
375	594	985
376	595	983
377	596	981
378	598	980
379	601	980
380	602	978
381	603	976
382	605	974
383	606	972
384	607	970
385	608	968
386	609	965
387	610	963
388	612	962
389	614	961
390	616	960
391	617	958
392	619	956
393	620	953
394	621	951
395	622	949
396	623	946
397	624	944
398	625	941
399	626	939
400	627	938
401	629	936
402	631	935
403	632	933
404	634	931
405	635	929
406	636	926
407	636	923
408	637	921
409	638	918
410	639	916
411	640	914
412	641	912
413	643	910
414	645	909
415	646	907
416	647	905
417	648	903
418	649	901
419	650	898
420	651	895
421	652	893
422	652	890
423	653	887
424	654	885
425	655	882
426	655	879
427	657	878
428	659	877
429	660	875
430	661	873
431	662	871
432	664	869
433	665	867
434	665	864
435	666	862
436	668	860
437	669	859
438	671	858
439	673	857
440	675	856
441	676	853
442	677	851
443	677	848
444	678	846
445	679	844
446	680	841
447	681	839
448	682	837
449	682	834
450	683	832
451	684	829
452	685	827
453	686	825
454	687	823
455	688	821
456	690	820
457	691	818
458	692	816
459	693	814
460	695	812
461	695	810
462	696	808
463	697	805
464	698	803
465	699	801
466	700	799
467	702	798
468	703	796
469	704	794
470	705	792
471	706	790
472	707	788
473	715	793
